invandrare,ålder,inkomst,region,label
0,86,31013,1,höger
0,87,56349,1,höger
0,74,40048,1,vänster
0,73,46139,1,höger
1,66,22077,0,höger
0,50,51426,0,höger
1,62,40553,0,vänster
0,67,22431,0,höger
0,20,37457,0,vänster
0,24,79272,0,vänster
0,63,35348,1,höger
0,35,65178,0,höger
0,34,28412,1,vänster
1,34,46931,0,höger
1,79,12719,0,vänster
0,77,71976,0,höger
0,64,40999,1,höger
1,65,42153,0,vänster
1,47,34816,1,höger
0,77,26883,0,vänster
0,81,32376,1,vänster
0,65,27216,0,höger
1,80,47382,0,höger
0,45,133475,1,höger
1,33,40712,0,vänster
0,20,54079,1,vänster
0,47,35447,1,höger
0,40,55921,1,höger
0,20,46924,1,vänster
0,64,28780,1,höger
0,84,48108,1,höger
0,69,32611,1,höger
1,88,27512,0,vänster
0,82,60283,0,höger
0,75,24346,0,höger
0,30,38633,1,vänster
0,29,70384,0,höger
0,89,39075,0,höger
0,24,36061,0,höger
0,45,41605,1,höger
1,53,39769,0,vänster
1,52,26268,1,vänster
1,36,30655,0,vänster
0,21,45561,1,höger
0,59,34349,0,höger
1,38,30967,0,höger
0,83,42037,1,höger
0,80,38757,1,höger
0,45,41077,0,höger
1,81,24000,0,vänster
0,63,70867,1,höger
0,71,41333,1,höger
1,73,33651,0,vänster
0,61,52360,1,höger
1,62,37718,1,vänster
1,27,59640,1,vänster
0,90,50596,0,höger
0,58,29001,1,vänster
1,82,43398,1,vänster
0,54,50416,1,höger
0,23,72294,1,vänster
0,78,70073,1,höger
0,28,34928,1,höger
0,74,48764,1,höger
0,24,36123,0,höger
1,67,63426,1,vänster
0,36,23593,0,höger
0,34,48094,0,höger
0,85,53657,1,höger
1,57,43925,1,vänster
0,30,48220,1,vänster
0,61,39181,0,höger
0,39,21354,0,höger
0,74,66233,0,höger
0,78,18562,0,höger
0,74,36540,1,höger
0,35,19581,0,höger
0,31,33220,0,vänster
0,83,23375,1,vänster
0,75,51110,0,höger
0,28,75503,1,vänster
0,35,68483,1,vänster
0,18,36803,0,höger
0,48,28913,1,vänster
1,81,27421,0,höger
0,63,38697,1,vänster
1,85,61042,1,vänster
1,78,40171,1,vänster
1,48,46028,0,höger
0,60,39238,1,höger
0,79,44613,0,höger
0,23,46094,0,höger
0,78,52675,1,höger
0,24,29282,0,höger
0,67,25378,1,vänster
0,84,29787,1,höger
1,55,33951,1,vänster
0,74,49939,1,höger
0,36,39748,0,höger
1,48,28852,0,höger
0,65,62253,1,höger
0,68,49646,1,vänster
0,45,32662,0,höger
0,75,57275,1,höger
1,40,33056,0,vänster
0,35,44128,1,höger
0,34,22932,0,höger
0,79,102377,1,vänster
0,75,44843,1,vänster
0,88,20886,0,höger
1,39,60363,1,vänster
0,84,43354,0,höger
1,56,16647,0,vänster
0,37,89081,1,höger
1,21,37657,1,vänster
0,21,48936,1,vänster
0,69,41594,1,höger
0,36,69633,1,vänster
1,65,33352,1,höger
1,75,32472,1,vänster
0,38,26330,0,vänster
0,77,72708,1,höger
0,24,62358,1,vänster
0,54,62001,1,vänster
0,64,25277,1,höger
0,54,44797,1,höger
0,33,31156,1,vänster
0,89,39780,0,höger
1,35,48035,0,höger
1,83,62786,1,höger
0,61,44821,1,vänster
0,78,25788,0,höger
0,21,21834,0,vänster
0,47,34907,0,höger
0,36,22876,0,höger
0,42,39319,1,höger
0,78,38216,0,höger
1,44,31198,0,höger
0,51,25713,0,höger
0,46,48882,0,höger
0,53,48450,1,höger
0,68,27539,0,höger
0,50,24010,0,höger
0,31,35200,0,höger
0,24,37176,1,höger
0,35,65504,1,höger
0,79,40765,0,höger
0,25,18419,0,höger
0,40,53867,1,höger
0,55,34591,0,vänster
0,42,22514,0,höger
0,41,39071,1,höger
0,69,33191,0,höger
0,41,26610,0,vänster
0,52,21394,0,höger
1,64,27035,0,höger
0,57,29671,0,höger
0,79,62626,1,höger
0,86,74679,0,höger
0,28,45443,1,vänster
0,82,45437,1,höger
0,74,30092,1,vänster
0,76,39876,1,vänster
0,57,23379,0,höger
1,62,33735,0,höger
0,78,35719,1,höger
0,71,65484,1,höger
0,66,59671,1,höger
0,40,30528,0,höger
0,18,56107,0,höger
0,47,39474,1,höger
0,32,55735,1,vänster
0,26,49876,1,höger
0,69,48478,1,höger
0,47,40299,0,höger
0,59,45247,1,höger
0,40,30131,0,vänster
0,66,27269,0,höger
0,78,30835,1,vänster
1,70,34191,0,höger
0,75,25487,0,höger
0,23,14977,0,höger
0,60,58974,1,höger
1,33,48850,0,vänster
0,54,45653,1,höger
0,83,29628,0,höger
0,44,39814,1,höger
0,36,47589,1,höger
1,47,63927,1,vänster
0,61,51673,1,höger
1,87,73119,1,vänster
0,25,47905,1,vänster
0,25,42663,0,vänster
0,80,45708,1,vänster
0,54,75161,1,höger
0,40,31034,1,vänster
0,65,31807,0,höger
0,56,60066,0,höger
1,66,42776,1,höger
0,28,37486,1,höger
1,85,42894,0,höger
0,27,24622,0,höger
0,20,40576,0,höger
0,68,24924,0,höger
0,87,52216,1,höger
0,28,35807,1,vänster
0,68,24712,0,vänster
0,75,39465,1,höger
0,49,46498,0,höger
0,58,39060,1,vänster
0,89,31048,0,höger
0,29,19940,0,vänster
0,49,23852,0,höger
1,56,35122,1,vänster
0,64,30607,1,vänster
0,43,30898,1,höger
0,73,23822,0,vänster
0,43,33054,1,höger
0,49,25254,1,vänster
0,90,20173,1,vänster
0,70,24082,0,höger
0,37,39633,0,höger
0,82,48124,0,höger
1,64,52138,0,höger
0,63,51104,1,höger
0,69,20005,0,höger
0,84,37973,0,höger
0,77,36551,0,höger
1,71,40621,0,vänster
0,44,40445,1,vänster
1,23,43268,0,vänster
1,49,46286,1,vänster
0,41,51168,1,vänster
0,43,42665,1,vänster
0,26,48451,0,höger
0,43,46265,1,höger
0,62,43132,1,höger
0,56,38758,0,höger
1,65,33228,0,vänster
1,67,43659,1,vänster
1,39,33253,1,vänster
0,24,55625,0,höger
0,81,43666,1,vänster
0,39,37896,1,höger
0,81,29377,1,höger
1,74,91923,1,höger
0,62,16917,0,vänster
0,72,34557,1,höger
0,53,24553,0,höger
0,83,37011,0,höger
0,53,19520,0,höger
0,68,47010,1,höger
0,29,69506,1,vänster
0,76,60830,0,höger
0,63,44124,0,höger
0,45,38725,1,höger
0,61,52258,0,höger
1,38,26244,1,vänster
1,53,40802,1,vänster
0,39,57047,1,höger
1,30,43709,1,vänster
0,74,79786,1,höger
1,27,31431,1,vänster
0,66,39157,0,höger
0,19,24080,0,vänster
0,37,37234,0,höger
1,33,28868,0,vänster
0,28,54114,1,höger
1,56,47683,1,vänster
0,24,41435,0,höger
0,27,70186,1,vänster
0,40,33212,0,höger
0,28,33748,0,höger
1,28,45834,1,vänster
0,26,21228,1,vänster
0,49,41531,1,höger
0,40,65013,1,höger
1,62,77369,1,vänster
0,52,27623,0,höger
0,51,34539,0,höger
0,90,86178,1,höger
1,83,29975,1,vänster
0,22,30595,0,höger
0,58,30654,1,höger
1,84,31913,0,höger
0,59,42717,1,höger
0,49,48989,1,vänster
0,43,37685,0,vänster
1,87,78582,1,vänster
0,31,70061,1,vänster
1,53,45993,1,vänster
0,28,33156,0,höger
1,34,36623,1,vänster
0,59,38743,1,vänster
0,37,42601,1,vänster
1,63,25494,0,vänster
1,56,37167,0,vänster
0,59,41777,1,höger
1,69,35407,0,vänster
1,31,26702,0,vänster
0,27,42802,1,höger
0,60,66886,1,höger
0,72,36582,1,höger
0,37,48375,1,höger
0,25,39712,1,vänster
0,85,28936,1,höger
0,62,32936,0,höger
1,58,16524,0,vänster
0,47,16322,0,höger
0,25,61925,0,höger
0,40,57646,1,höger
0,21,26742,0,vänster
0,81,24060,1,vänster
1,79,59118,1,vänster
0,59,23042,1,vänster
1,32,30646,0,vänster
1,73,41021,0,vänster
0,40,53214,1,höger
0,68,47857,0,höger
1,58,61185,0,vänster
0,58,60953,1,vänster
0,75,26385,1,höger
0,24,67268,1,vänster
0,87,52957,1,höger
0,22,34368,1,vänster
0,29,54036,1,höger
0,24,36331,1,höger
0,87,37899,1,vänster
0,37,71273,1,höger
0,30,34366,1,vänster
0,68,59571,1,höger
0,67,62043,1,höger
0,46,34387,0,höger
0,30,36790,1,vänster
0,67,29578,0,höger
0,78,26202,0,höger
1,84,43509,0,vänster
1,75,53840,1,höger
0,36,29392,0,vänster
0,53,57916,1,höger
1,90,58889,0,höger
1,54,21802,0,vänster
1,69,53890,1,vänster
1,60,19620,0,vänster
0,56,35828,1,vänster
0,59,38991,1,vänster
0,80,33219,0,höger
0,82,61310,1,höger
0,43,24916,0,höger
0,43,63504,1,höger
1,65,20963,1,vänster
0,88,68819,1,höger
1,45,43241,0,vänster
0,70,53647,1,höger
0,46,56451,1,vänster
0,53,39969,1,vänster
0,68,35984,0,höger
0,31,39174,1,vänster
0,56,44913,1,vänster
1,69,48503,0,höger
0,71,60576,1,höger
0,42,64435,1,höger
0,63,57091,1,höger
1,34,44650,0,vänster
0,29,30157,1,höger
0,55,52880,1,höger
1,33,29695,0,vänster
1,37,33574,1,vänster
0,58,29175,0,höger
0,44,32001,0,höger
0,69,43806,1,vänster
0,65,33489,0,höger
0,62,28591,1,höger
0,26,27698,0,höger
0,35,62560,1,höger
1,69,44484,1,vänster
0,50,39421,0,höger
1,31,30314,0,vänster
1,19,57696,1,vänster
0,35,69427,1,höger
0,81,35466,1,höger
0,43,41814,1,höger
0,79,49466,1,höger
1,83,51321,1,vänster
1,40,45733,0,höger
0,72,36984,0,höger
0,29,40238,1,vänster
0,76,29139,1,höger
0,32,54770,1,höger
0,79,37452,0,höger
1,34,41856,1,vänster
0,26,31408,1,vänster
0,90,45873,1,höger
0,73,26088,0,höger
0,89,35192,0,höger
0,82,19887,0,höger
1,46,22061,0,vänster
1,74,26441,0,höger
0,20,39788,1,vänster
1,29,56116,0,vänster
0,24,44778,0,höger
0,78,28284,0,höger
1,63,48720,0,höger
0,31,35792,1,vänster
1,43,65448,1,höger
0,42,21977,0,vänster
0,75,48966,1,höger
0,18,63558,1,höger
1,40,22828,0,vänster
0,59,71114,1,vänster
0,83,98136,1,höger
0,88,20376,0,höger
0,40,51917,1,vänster
1,63,78222,0,höger
0,86,44927,1,höger
1,25,52244,1,vänster
0,55,45946,1,vänster
0,89,45787,0,höger
0,54,21166,0,vänster
0,58,48464,0,höger
0,65,35262,0,höger
0,42,25386,1,vänster
0,66,37616,1,vänster
1,50,33001,1,vänster
0,56,47200,1,vänster
0,58,74855,1,höger
0,69,36513,1,höger
0,64,42981,1,höger
1,62,78812,1,höger
0,23,50770,0,höger
0,65,44772,1,höger
0,42,46577,1,höger
0,72,26576,0,vänster
1,37,50198,1,vänster
0,27,26355,0,vänster
0,69,46785,1,höger
0,27,44453,1,höger
0,29,64774,1,vänster
1,46,33008,1,vänster
0,36,78627,1,höger
0,36,65164,1,höger
0,62,34872,1,höger
1,90,34270,0,höger
1,30,110526,1,vänster
0,54,46730,0,höger
0,57,20295,0,vänster
1,58,24647,1,vänster
0,64,42967,1,höger
1,28,42211,0,vänster
0,51,43430,0,vänster
0,69,35201,0,höger
1,68,77654,1,vänster
0,68,67265,1,höger
1,38,43733,1,vänster
1,65,53742,1,vänster
0,67,43212,1,vänster
0,84,19400,0,höger
0,90,50661,1,höger
0,66,24834,0,höger
0,62,43268,1,höger
1,27,38499,1,vänster
1,33,30438,0,vänster
0,38,30615,0,höger
1,38,47266,1,vänster
0,84,37673,0,höger
1,54,21322,0,vänster
0,70,18747,0,höger
0,61,34970,0,höger
1,84,33008,0,vänster
1,30,76950,1,vänster
0,29,26587,1,vänster
0,73,41175,1,höger
0,66,68644,1,höger
0,50,41696,1,höger
0,33,40686,1,höger
0,70,25747,1,vänster
0,64,53641,0,höger
0,88,32314,0,höger
0,62,30608,0,höger
0,33,29535,0,höger
0,61,40824,0,höger
1,67,31525,0,höger
1,67,27625,0,vänster
0,25,56079,0,höger
0,84,44859,1,höger
1,22,32427,1,vänster
0,43,51003,1,vänster
1,54,35778,0,höger
0,42,30905,1,vänster
0,82,66462,1,höger
0,49,54817,0,höger
0,21,35761,1,vänster
0,58,37284,1,höger
0,51,69733,1,höger
0,42,23785,1,vänster
0,44,31022,1,vänster
0,81,46445,0,höger
1,79,72515,1,vänster
0,83,30934,1,vänster
1,72,46396,1,höger
1,33,30420,0,vänster
1,44,31466,1,vänster
0,52,48918,1,höger
0,44,55163,1,höger
0,47,64650,0,höger
0,66,83280,1,höger
0,35,50733,0,höger
0,80,47998,1,höger
1,50,50492,1,vänster
0,64,52371,1,höger
0,43,39932,0,höger
0,54,53397,1,höger
0,54,39707,1,höger
0,27,39142,1,vänster
0,68,35579,1,höger
0,84,30844,0,höger
0,28,41668,1,vänster
0,78,28819,1,höger
0,37,65402,1,höger
0,54,28757,1,vänster
0,59,28209,0,höger
0,88,28550,1,höger
0,85,41057,0,höger
0,47,31099,0,höger
1,35,43605,1,vänster
0,79,91346,1,höger
0,42,46860,1,höger
1,67,27386,0,höger
0,52,89100,1,höger
0,26,32270,1,vänster
0,42,38688,1,höger
0,19,30373,1,vänster
0,65,56323,1,höger
0,36,52206,1,höger
0,66,17002,0,höger
0,22,51153,1,höger
0,57,15455,0,höger
0,88,30496,1,vänster
0,45,24830,0,vänster
1,53,30252,0,vänster
0,37,24632,1,vänster
0,25,57857,1,vänster
0,89,72587,0,höger
0,42,34770,1,vänster
0,89,50690,1,höger
1,62,38905,1,höger
1,85,38090,1,vänster
0,18,33303,0,vänster
0,48,55061,1,höger
0,88,36253,1,höger
0,23,23211,0,vänster
1,67,34610,0,höger
0,27,42253,1,vänster
0,71,38142,0,höger
1,45,33639,0,höger
0,49,60384,0,höger
0,63,40630,0,höger
1,41,44690,1,vänster
0,58,28466,0,höger
0,59,34483,0,höger
0,75,36083,1,höger
0,20,38527,1,vänster
0,53,33381,0,höger
0,30,40458,1,vänster
0,56,22700,1,vänster
0,59,42986,0,höger
0,66,28098,1,höger
0,33,20484,0,vänster
0,66,45236,1,höger
0,59,54687,1,höger
0,46,53344,1,höger
0,78,20943,0,höger
0,34,32393,0,vänster
0,43,26612,0,höger
0,32,30624,0,vänster
0,21,24212,0,vänster
0,74,55174,1,höger
0,28,49996,1,vänster
0,86,49123,1,höger
0,36,38640,0,höger
0,25,67208,1,höger
1,19,57597,1,vänster
1,55,36926,0,vänster
0,30,32117,0,vänster
0,89,33742,0,höger
0,38,51894,1,höger
0,53,61239,0,vänster
0,21,46546,0,höger
1,66,95568,1,vänster
0,71,62029,1,höger
1,87,26705,0,vänster
0,85,20713,0,höger
0,38,81832,1,höger
1,58,48898,0,höger
0,53,36414,1,höger
1,52,38837,0,vänster
1,79,63429,1,vänster
0,41,32664,0,höger
0,19,46522,0,höger
0,43,32567,0,höger
0,23,65906,0,höger
0,86,45282,1,höger
0,84,34090,1,höger
0,42,40925,1,vänster
0,24,51629,0,höger
0,29,22620,0,höger
0,43,22832,0,höger
0,38,31329,0,höger
0,83,20865,0,höger
1,39,36882,0,vänster
1,24,28227,1,vänster
0,41,34415,1,höger
0,81,31257,1,höger
0,70,59315,1,höger
0,41,48404,1,höger
0,56,31285,1,höger
0,76,30119,0,höger
0,59,41304,1,höger
0,35,59524,1,vänster
0,44,35437,0,höger
0,79,44223,0,höger
0,72,26051,0,höger
1,90,56982,1,vänster
0,47,30410,0,höger
1,43,28051,0,vänster
0,88,32338,1,höger
1,60,53464,0,höger
0,22,31894,0,vänster
0,70,18833,0,höger
0,58,28153,0,höger
0,41,39332,0,höger
1,70,61659,1,vänster
0,40,89675,1,höger
0,74,33263,1,höger
0,59,41031,1,vänster
0,18,60246,1,vänster
0,57,65704,1,höger
0,43,37045,1,höger
1,53,78536,1,vänster
1,87,39494,1,vänster
0,27,70876,1,höger
1,21,49402,1,vänster
1,75,17731,0,vänster
0,86,46213,1,höger
1,57,41610,0,höger
0,46,59443,1,höger
0,60,50009,0,höger
1,78,41110,1,vänster
0,83,33769,1,vänster
0,86,47347,1,höger
0,26,67596,1,vänster
0,73,24106,0,höger
0,80,47962,1,vänster
1,74,56378,1,höger
1,35,63922,0,höger
1,36,31575,0,höger
0,58,73442,1,höger
0,73,37341,0,höger
0,25,45630,1,vänster
0,63,40478,1,höger
0,73,52568,1,höger
1,67,28454,0,höger
1,19,43784,1,vänster
0,28,83034,1,höger
0,67,28675,1,höger
0,48,34455,0,höger
0,79,36780,0,höger
0,53,28904,1,vänster
1,87,29177,0,höger
0,19,44940,1,vänster
0,55,73241,1,höger
0,25,36674,0,höger
0,21,27901,1,vänster
0,53,48421,1,höger
0,37,29886,0,vänster
0,48,40367,1,vänster
1,81,30189,0,vänster
0,39,53984,1,höger
1,39,43264,1,vänster
0,86,52321,1,höger
0,54,29864,0,vänster
0,23,45550,1,vänster
0,52,38491,1,höger
0,68,50358,1,höger
0,41,29647,1,höger
0,75,52328,1,vänster
1,45,43652,0,vänster
1,34,66929,1,vänster
1,41,33381,1,vänster
0,53,46499,0,höger
0,53,29571,0,höger
1,51,33841,1,vänster
0,73,109143,1,höger
0,31,44194,1,vänster
0,37,58171,0,höger
0,80,36542,1,höger
0,67,47506,0,höger
0,63,39554,1,vänster
0,61,40340,1,höger
0,40,26956,0,vänster
0,74,25136,0,höger
0,48,26313,1,vänster
0,75,21174,0,höger
0,23,28078,1,höger
0,86,79170,1,höger
1,36,48329,1,vänster
0,57,17642,0,höger
0,26,20536,0,vänster
0,72,89644,1,höger
0,33,34643,0,vänster
0,40,34806,1,höger
0,65,20019,0,höger
0,66,18640,0,höger
1,40,44602,0,vänster
0,78,20133,0,vänster
0,70,24848,1,höger
0,29,42624,0,höger
1,48,71367,1,vänster
0,44,43605,1,vänster
0,23,40363,1,vänster
0,76,43946,1,vänster
0,74,28842,0,höger
0,59,34693,1,höger
1,46,46601,1,vänster
0,40,21754,1,vänster
0,52,22813,1,vänster
0,76,53273,1,höger
0,38,40672,0,vänster
0,29,48374,1,vänster
0,78,20108,0,höger
0,46,35057,0,höger
0,18,57441,1,höger
0,30,32123,1,vänster
1,70,24024,0,vänster
0,57,42107,1,höger
0,76,22736,1,vänster
0,18,29622,0,vänster
0,52,38523,0,höger
0,60,83795,0,höger
1,64,29797,1,vänster
0,44,36430,1,höger
0,44,41378,0,höger
0,24,37594,1,vänster
0,33,49035,1,vänster
0,26,41229,1,vänster
0,27,29553,1,höger
0,20,77819,1,vänster
1,62,45081,1,höger
0,80,69403,0,höger
0,56,46389,0,höger
0,54,21586,0,höger
0,39,21198,0,höger
0,37,47723,1,vänster
0,44,21828,0,höger
0,38,46696,1,vänster
0,55,28406,1,vänster
0,79,20289,0,höger
0,69,25303,0,höger
1,85,61773,1,vänster
1,86,52669,0,höger
0,25,29794,0,höger
0,65,29472,1,höger
0,45,42460,0,höger
0,72,24023,0,höger
0,85,38898,0,höger
0,52,49303,1,höger
1,66,43080,1,vänster
0,56,52564,1,höger
0,78,50406,1,höger
1,49,59080,1,vänster
0,79,59547,0,höger
0,33,32352,1,vänster
0,63,35775,1,vänster
0,63,32313,1,vänster
0,30,24463,0,vänster
0,56,52600,1,höger
1,35,38741,1,vänster
0,38,34770,1,vänster
0,85,50444,0,höger
0,71,69326,1,höger
0,84,23696,0,höger
1,33,55736,1,vänster
1,28,52185,1,vänster
1,79,47177,0,höger
0,26,26406,1,vänster
0,43,40552,1,vänster
0,62,50274,1,höger
1,19,21321,1,vänster
0,82,31247,0,höger
1,31,39008,1,vänster
1,58,72230,1,vänster
0,23,44107,1,höger
0,74,33653,1,höger
0,78,45202,0,höger
0,33,38822,1,vänster
1,39,65804,1,höger
1,72,20657,0,höger
0,52,25356,0,vänster
0,36,24002,0,höger
0,35,95733,1,höger
1,59,47767,1,vänster
1,84,40955,0,höger
0,61,33683,0,höger
0,73,21679,0,höger
1,40,44822,0,höger
0,80,37476,1,höger
0,88,35693,0,höger
0,82,32285,1,höger
0,54,58928,1,vänster
0,21,37097,0,höger
0,25,21362,0,vänster
0,26,24864,0,höger
0,72,45644,0,höger
0,20,29132,0,höger
1,44,44643,1,vänster
0,56,41363,1,vänster
0,86,36920,1,höger
0,46,36865,0,höger
0,72,70669,1,vänster
0,56,45588,1,höger
0,88,71008,1,höger
0,77,65925,1,vänster
0,25,40642,1,höger
1,56,22350,0,vänster
0,52,36972,0,höger
0,69,56191,1,höger
0,22,55280,1,vänster
0,23,32575,0,höger
0,26,30100,0,höger
0,29,31642,1,vänster
0,85,58517,1,höger
1,58,47852,1,vänster
0,36,35726,1,höger
0,25,37241,1,höger
0,36,86058,1,höger
1,22,56506,0,vänster
0,64,41737,0,höger
0,74,64253,1,höger
1,48,56103,1,vänster
0,58,43034,0,vänster
0,80,32832,1,höger
0,30,41831,0,höger
0,59,54730,1,vänster
0,35,34993,1,höger
0,34,56267,0,höger
0,79,25178,0,höger
0,28,93547,1,höger
0,43,52162,1,vänster
1,90,54854,1,vänster
0,76,32711,0,höger
0,52,44192,1,vänster
0,45,21945,0,höger
1,55,24605,0,vänster
0,76,38836,1,vänster
0,67,39759,0,höger
1,25,69374,1,vänster
0,23,44534,1,vänster
0,65,35881,1,höger
0,29,45227,1,vänster
1,23,32279,0,vänster
0,51,40672,0,höger
0,39,68069,1,vänster
0,22,31363,1,vänster
1,81,33836,1,vänster
0,36,35925,1,vänster
0,52,37211,0,höger
0,41,105056,1,höger
1,33,122597,1,vänster
1,79,31006,1,vänster
0,90,24580,1,vänster
0,29,55886,1,höger
0,54,17887,0,höger
0,34,31240,1,höger
1,75,31812,0,höger
0,41,42517,1,vänster
0,77,44779,0,höger
0,28,30619,1,vänster
0,37,38491,0,höger
0,88,42381,1,vänster
0,90,26651,0,höger
0,77,33276,1,höger
1,56,73644,1,höger
0,41,29597,1,vänster
0,20,34404,1,höger
0,80,69461,1,höger
0,68,37986,0,höger
1,48,61670,1,vänster
1,56,22801,0,vänster
0,74,29082,0,höger
0,43,59714,1,höger
0,73,72848,0,höger
0,88,20680,0,höger
0,80,48722,1,höger
0,71,17861,0,höger
0,38,34285,1,höger
0,46,69228,0,höger
0,67,60584,0,höger
0,78,56785,0,höger
0,34,30590,1,vänster
0,81,40405,1,vänster
1,26,33723,1,vänster
0,80,38717,1,vänster
0,37,57932,0,höger
1,24,30675,0,vänster
1,31,60122,0,vänster
0,38,55552,0,höger
1,64,41889,1,vänster
0,49,32139,0,höger
0,71,49353,1,höger
0,71,22459,0,vänster
0,84,30165,0,höger
1,19,33229,0,vänster
0,73,67421,1,höger
0,25,21499,0,höger
0,58,40528,0,höger
0,75,61054,0,höger
0,69,34092,0,höger
0,34,45637,1,höger
0,38,70667,1,höger
0,56,21560,0,höger
1,33,46164,1,vänster
0,48,62072,0,höger
0,54,51165,0,höger
1,66,36094,1,höger
0,30,41382,1,vänster
1,72,32024,0,höger
0,84,56237,0,höger
0,74,30958,0,höger
0,83,24556,0,höger
0,38,36430,0,höger
1,37,37376,1,vänster
0,21,19465,0,vänster
0,45,45614,1,vänster
1,79,48825,0,höger
0,34,33034,0,höger
0,75,50886,1,höger
0,68,42479,1,höger
1,39,40622,0,vänster
1,89,76525,1,höger
0,90,58486,1,vänster
0,20,69045,1,vänster
1,86,30892,0,höger
0,71,45468,1,höger
1,30,38400,1,vänster
0,39,52407,1,höger
1,36,38005,1,vänster
0,48,55565,1,höger
1,25,45761,1,vänster
0,20,32443,1,vänster
0,56,26609,0,höger
1,87,47389,0,höger
0,89,57205,1,höger
0,79,28930,1,höger
0,45,33073,0,höger
0,68,67629,0,höger
0,73,44952,1,vänster
0,75,50580,1,höger
0,60,59747,1,vänster
0,40,60594,1,höger
0,27,42858,1,vänster
0,67,72080,1,höger
1,77,77074,1,höger
1,56,32385,0,höger
0,18,59391,1,vänster
0,88,66165,1,höger
0,40,32636,1,vänster
0,42,43338,0,vänster
0,76,39245,1,höger
0,70,53392,1,höger
0,23,26132,0,höger
1,42,58984,1,vänster
0,26,20627,0,vänster
0,60,24627,0,höger
0,24,33372,0,vänster
0,30,34607,0,vänster
1,22,49365,1,vänster
1,66,49481,1,vänster
0,19,42857,1,vänster
0,21,39466,1,vänster
1,26,20800,0,vänster
0,41,36928,1,vänster
0,63,33523,1,höger
1,36,45418,1,vänster
0,72,32039,1,höger
0,90,37046,0,höger
1,76,53585,0,vänster
0,77,18207,0,höger
0,60,29020,0,höger
1,63,32932,1,vänster
1,64,53208,1,höger
1,51,23342,0,vänster
1,44,20978,1,vänster
0,73,24398,0,höger
0,72,35807,0,höger
0,24,28249,0,höger
0,80,28735,1,höger
0,83,44919,1,höger
0,85,42459,0,höger
0,22,65883,1,vänster
0,45,72972,1,vänster
0,35,25444,0,höger
